LEAD_ID,RAW_INDUSTRY,EMPLOYEE_COUNT,ANNUAL_REVENUE,CREATED_DATE,total_engagements,unique_actions,days_since_nonconv,lead_score,lead_age
28,Healthcare,668,35.03,01-03-2025,5,3,23,1.00,105
29,Finance,2357,76.68,22-02-2025,1,1,999,1.00,112
30,Manufacturing,1808,22.25,31-01-2025,3,3,137,1.00,134
31,Healthcare,1561,28.17,31-05-2025,4,2,22,0.05,14
32,Manufacturing,177,47.55,25-02-2025,2,2,22,0.96,109
33,Technology,385,5.22,07-01-2025,3,1,74,0.04,158
34,Healthcare,66,22.59,24-05-2025,1,1,999,1.00,21
35,Manufacturing,4080,63.76,22-04-2025,3,2,55,0.96,53
36,Healthcare,71,23.98,31-05-2025,2,2,999,1.00,14
37,Finance,3992,70.58,28-02-2025,2,2,147,0.99,106
38,Finance,2786,25.91,14-02-2025,2,2,135,1.00,120
39,Healthcare,1992,95.73,28-02-2025,4,4,69,1.00,106
40,Manufacturing,1659,2.29,30-03-2025,3,1,999,1.00,76
41,Finance,3028,89.01,11-04-2025,4,3,63,1.00,64
42,Healthcare,2840,25.65,18-05-2025,1,1,999,1.00,27
43,Finance,3621,39.09,06-04-2025,3,2,999,1.00,69
44,Healthcare,2616,64.37,26-01-2025,1,1,100,0.01,139
45,Retail,3590,59.94,16-04-2025,1,1,999,1.00,59
46,Healthcare,4839,35,03-04-2025,3,2,37,0.95,72
47,Finance,3527,48.02,08-05-2025,2,2,27,0.10,37
48,Finance,2752,47.4,07-02-2025,4,3,74,1.00,127
49,Manufacturing,1508,57.9,01-02-2025,4,3,89,1.00,133
50,Healthcare,2560,15.33,13-04-2025,3,2,999,1.00,62
51,Manufacturing,2263,36.87,01-03-2025,1,1,999,1.00,105
52,Healthcare,4329,96.66,13-01-2025,3,2,102,0.10,152
53,Finance,544,12.03,27-05-2025,4,3,45,1.00,18
54,Manufacturing,3956,61.48,09-02-2025,3,3,43,1.00,125
55,Healthcare,4839,35,14-05-2025,5,4,11,1.00,31
56,Healthcare,557,67.79,04-06-2025,5,3,91,1.00,10
57,Finance,611,18.09,12-01-2025,2,2,42,0.96,153
58,Healthcare,565,29,24-04-2025,3,2,64,0.98,51
59,Technology,1465,69.07,05-02-2025,3,2,101,0.15,129
60,Healthcare,1614,66.05,07-02-2025,5,4,34,1.00,127
61,Finance,1238,49.64,27-03-2025,2,1,999,1.00,79
62,Finance,611,18.09,28-05-2025,1,1,999,1.00,17
63,Finance,2357,76.68,14-01-2025,1,1,57,0.00,151
64,Healthcare,1498,90.7,25-01-2025,5,2,11,0.95,140
65,Technology,4496,74.35,27-04-2025,2,1,999,0.99,48
66,Healthcare,915,35.3,21-02-2025,1,1,6,0.00,113
67,Healthcare,2502,33.98,02-02-2025,2,2,29,0.99,132
68,Healthcare,1986,53.35,07-03-2025,2,2,999,1.00,99
69,Manufacturing,3179,48.67,15-05-2025,4,2,39,0.08,30
70,Finance,3028,89.01,01-03-2025,5,3,23,1.00,105
71,Finance,1247,12.7,01-06-2025,3,2,16,0.10,13
72,Manufacturing,177,47.55,17-01-2025,3,3,109,1.00,148
73,Retail,3370,39.61,22-01-2025,4,3,16,1.00,143
74,Manufacturing,3413,37.03,12-05-2025,3,2,64,0.90,33
75,Technology,392,71.56,02-05-2025,3,2,59,0.98,43
76,Manufacturing,3520,9.01,26-05-2025,3,3,47,1.00,19
77,Healthcare,4915,64.48,19-04-2025,1,1,999,1.00,56
78,Healthcare,3265,16.83,10-04-2025,3,3,97,1.00,65
79,Retail,4000,36.28,14-02-2025,4,3,65,0.99,120
80,Healthcare,4938,74.96,25-05-2025,2,1,110,0.02,20
81,Retail,1009,54.93,17-02-2025,3,2,22,0.94,117
82,Retail,1351,23.89,26-04-2025,2,2,15,0.96,49
83,Technology,2548,59.13,09-05-2025,4,3,141,1.00,36
84,Healthcare,557,67.79,29-04-2025,3,3,66,1.00,46
85,Healthcare,4839,35,19-05-2025,1,1,999,1.00,26
86,Retail,4824,33.96,14-03-2025,3,2,12,0.09,92
87,Technology,941,77.28,02-04-2025,3,3,41,1.00,73
88,Technology,388,36.1,11-02-2025,2,2,118,0.94,123
89,Technology,2290,77.14,15-05-2025,1,1,6,0.01,30
90,Finance,3267,75.04,05-06-2025,5,2,999,1.00,9
91,Finance,544,12.03,10-04-2025,4,2,44,0.92,65
92,Manufacturing,4381,62.95,20-05-2025,3,3,7,1.00,25
93,Technology,4861,82.44,25-03-2025,5,3,41,1.00,81
94,Retail,798,82.08,05-01-2025,1,1,148,0.00,160
95,Healthcare,165,39.99,18-04-2025,2,2,154,1.00,57
96,Finance,3940,77.6,21-02-2025,5,2,69,0.98,113
97,Technology,2912,2.56,02-05-2025,4,2,158,1.00,43
98,Retail,1026,25.96,28-02-2025,5,3,36,1.00,106
99,Manufacturing,2263,36.87,27-02-2025,2,2,999,1.00,107
100,Technology,3736,44.69,24-04-2025,3,2,112,0.99,51
101,Retail,4392,95.42,29-05-2025,3,2,110,0.08,16
102,Finance,1162,47.33,05-01-2025,2,2,999,1.00,160
103,Finance,2528,65.09,28-05-2025,1,1,19,0.01,17
104,Healthcare,3484,79.91,03-06-2025,5,2,23,0.97,11
105,Manufacturing,4381,62.95,18-02-2025,2,2,131,1.00,116
106,Finance,1819,16.68,12-02-2025,4,3,7,1.00,122
107,Retail,4392,95.42,12-01-2025,4,3,146,1.00,153
108,Retail,4999,70.43,11-03-2025,2,2,152,0.99,95
109,Technology,2912,2.56,20-03-2025,5,3,71,1.00,86
110,Manufacturing,4080,63.76,07-02-2025,3,3,138,1.00,127
111,Technology,4882,13.91,11-05-2025,1,1,999,1.00,34
112,Healthcare,1923,65.61,04-02-2025,1,1,59,0.00,130
113,Manufacturing,2347,47.88,11-03-2025,3,2,17,0.97,95
114,Retail,4392,95.42,02-01-2025,1,1,999,1.00,163
115,Healthcare,3484,79.91,26-03-2025,2,2,163,0.99,80
116,Retail,2442,36.44,16-04-2025,4,3,20,1.00,59
117,Finance,2450,31.17,21-01-2025,5,3,30,1.00,144
118,Healthcare,2538,28.48,26-02-2025,5,3,111,1.00,108
119,Healthcare,4067,90.63,18-03-2025,2,2,62,0.05,88
120,Retail,1060,79.77,24-01-2025,1,1,999,1.00,141
121,Healthcare,1561,28.17,21-03-2025,2,1,999,1.00,85
122,Retail,1060,79.77,12-03-2025,5,3,47,1.00,94
123,Technology,2290,77.14,02-02-2025,1,1,999,1.00,132
124,Healthcare,2560,15.33,14-04-2025,2,2,123,1.00,61
125,Technology,2912,2.56,09-02-2025,2,2,108,0.98,125
126,Technology,551,30.75,27-03-2025,1,1,160,0.06,79
127,Retail,2442,36.44,21-04-2025,2,1,35,0.03,54
128,Manufacturing,3520,9.01,29-01-2025,3,3,18,1.00,136
129,Finance,2528,65.09,06-03-2025,3,1,60,0.06,100
130,Healthcare,2495,3.09,08-05-2025,2,2,81,0.98,37
131,Finance,710,86.16,02-02-2025,3,2,999,1.00,132
132,Healthcare,1986,53.35,24-01-2025,2,2,70,0.97,141
133,Healthcare,3756,2.93,20-02-2025,4,2,42,0.98,114
134,Finance,1486,32.1,11-01-2025,1,1,999,1.00,154
135,Manufacturing,2263,36.87,05-03-2025,1,1,999,1.00,101
136,Technology,551,30.75,12-01-2025,3,3,12,1.00,153
137,Healthcare,3847,12.8,10-03-2025,4,3,55,1.00,96
138,Manufacturing,2163,11.16,03-01-2025,1,1,999,1.00,162
139,Retail,1236,33.92,07-05-2025,5,3,17,1.00,38
140,Manufacturing,3979,28.56,19-01-2025,1,1,82,0.02,146
141,Finance,1162,47.33,11-05-2025,3,2,105,0.96,34
142,Technology,899,99.53,05-05-2025,2,2,70,0.95,40
143,Technology,4269,60.28,10-05-2025,4,3,108,1.00,35
144,Finance,3295,7.4,06-06-2025,5,4,58,1.00,8
145,Technology,4861,82.44,28-01-2025,1,1,999,0.99,137
146,Healthcare,3115,25.15,28-02-2025,3,2,59,0.98,106
147,Retail,263,67.06,06-02-2025,4,2,131,0.99,128
148,Technology,772,25.34,03-03-2025,3,2,999,1.00,103
149,Retail,798,82.08,12-04-2025,3,2,99,0.99,63
150,Finance,2419,21.94,08-03-2025,2,2,40,0.91,98
151,Healthcare,1625,50.21,18-04-2025,3,3,42,1.00,57
152,Retail,4896,95.33,31-05-2025,3,2,8,0.08,14
153,Manufacturing,177,47.55,07-04-2025,3,2,999,1.00,68
154,Healthcare,1997,31.91,06-04-2025,2,2,55,0.14,69
155,Retail,798,82.08,18-04-2025,3,3,49,1.00,57
156,Finance,3940,77.6,08-02-2025,1,1,999,1.00,126
157,Technology,552,3.19,27-04-2025,3,3,39,1.00,48
158,Healthcare,3115,25.15,10-02-2025,5,4,8,1.00,124
159,Manufacturing,1622,36.33,05-04-2025,4,4,55,1.00,70
160,Retail,1236,33.92,07-03-2025,3,2,57,0.93,99
161,Finance,2350,28.36,10-03-2025,3,3,37,1.00,96
162,Technology,1425,29.06,11-02-2025,3,1,40,0.03,123
163,Manufacturing,2645,44,25-05-2025,2,1,40,0.00,20
164,Finance,2672,22.28,27-05-2025,3,2,57,0.91,18
165,Manufacturing,3956,61.48,20-01-2025,3,3,112,1.00,145
166,Retail,2386,82.97,05-06-2025,4,3,7,1.00,9
167,Manufacturing,2645,44,22-04-2025,3,3,70,0.99,53
168,Healthcare,1561,28.17,05-06-2025,5,3,27,1.00,9
169,Technology,2548,59.13,13-05-2025,5,3,83,1.00,32
170,Manufacturing,2645,44,20-04-2025,3,2,34,0.08,55
171,Technology,4861,82.44,25-02-2025,3,3,60,1.00,109
172,Manufacturing,4080,63.76,13-05-2025,2,2,35,0.08,32
173,Healthcare,2495,3.09,15-04-2025,4,2,40,0.14,60
174,Healthcare,3108,44.24,22-04-2025,5,3,14,1.00,53
175,Retail,2837,53.64,07-01-2025,1,1,999,1.00,158
176,Finance,3816,97.59,20-04-2025,5,3,28,1.00,55
177,Retail,3929,54.46,01-06-2025,5,3,88,1.00,13
178,Healthcare,3914,43.34,12-01-2025,5,3,146,1.00,153
179,Finance,3816,97.59,29-03-2025,2,1,56,0.01,77
180,Technology,772,25.34,11-03-2025,4,1,999,0.99,95
181,Healthcare,1986,53.35,25-01-2025,2,2,25,0.97,140
182,Finance,4545,31.7,24-03-2025,3,2,157,0.99,82
183,Finance,3300,45.9,15-05-2025,3,3,82,1.00,30
184,Manufacturing,1365,72.28,12-05-2025,2,2,35,0.92,33
185,Retail,4065,41.12,14-04-2025,4,3,51,1.00,61
186,Finance,3940,77.6,16-04-2025,5,3,19,1.00,59
187,Healthcare,3219,64.47,20-02-2025,4,3,102,1.00,114
188,Finance,3267,75.04,17-05-2025,5,2,999,0.99,28
189,Retail,4896,95.33,14-05-2025,2,1,18,0.02,31
190,Manufacturing,1659,2.29,22-01-2025,3,3,16,1.00,143
191,Finance,2806,97.37,07-01-2025,2,2,158,0.99,158
192,Retail,2978,79.96,12-04-2025,2,2,136,1.00,63
193,Manufacturing,2263,36.87,25-01-2025,2,1,79,0.01,140
194,Retail,1220,64.66,01-02-2025,2,2,17,0.90,133
195,Healthcare,1033,10.34,14-02-2025,2,2,72,0.96,120
196,Finance,2419,21.94,20-01-2025,4,3,23,1.00,145
197,Finance,3300,45.9,23-04-2025,2,2,17,0.89,52
198,Finance,2419,21.94,13-01-2025,1,1,125,0.01,152
199,Technology,1125,5.4,18-01-2025,1,1,97,0.01,147
200,Manufacturing,3889,62.64,15-05-2025,5,3,19,1.00,30
201,Retail,4542,2.82,10-01-2025,5,4,155,1.00,155
202,Manufacturing,3496,84.06,22-02-2025,1,1,106,0.01,112
203,Manufacturing,1365,72.28,01-03-2025,2,2,38,0.96,105
204,Finance,3816,97.59,05-06-2025,1,1,138,0.03,9
205,Retail,4000,36.28,10-03-2025,2,1,34,0.01,96
206,Retail,579,15.81,07-03-2025,1,1,999,1.00,99
207,Retail,4509,65.56,06-03-2025,5,3,72,1.00,100
208,Finance,974,69.83,06-03-2025,2,1,999,1.00,100
209,Healthcare,1625,50.21,02-04-2025,3,2,999,1.00,73
210,Finance,284,79.67,02-03-2025,4,2,999,1.00,104
211,Finance,3295,7.4,06-04-2025,1,1,22,0.01,69
212,Healthcare,165,39.99,30-03-2025,4,2,23,0.12,76
213,Healthcare,668,35.03,02-03-2025,4,1,999,1.00,104
214,Manufacturing,2645,44,07-03-2025,4,3,82,1.00,99
215,Healthcare,1353,2.05,13-02-2025,1,1,8,0.09,121
216,Manufacturing,3956,61.48,15-04-2025,3,3,110,0.99,60
217,Retail,3370,39.61,22-02-2025,2,1,999,1.00,112
218,Healthcare,165,39.99,08-02-2025,4,3,20,1.00,126
219,Technology,133,58.87,22-01-2025,3,2,999,1.00,143
220,Manufacturing,4611,40.03,18-03-2025,1,1,999,1.00,88
221,Technology,1705,35.19,12-01-2025,5,3,11,1.00,153
222,Technology,1838,59.45,20-03-2025,5,3,101,1.00,86
223,Manufacturing,3520,9.01,16-02-2025,2,2,47,0.96,118
224,Finance,2450,31.17,22-01-2025,3,2,999,1.00,143
225,Retail,2978,79.96,22-04-2025,3,3,136,1.00,53
226,Manufacturing,4448,55.84,05-06-2025,3,2,93,1.00,9
227,Healthcare,1033,10.34,11-01-2025,3,1,999,0.99,154
228,Healthcare,1353,2.05,03-02-2025,3,2,46,0.96,131
229,Technology,2499,84.55,31-01-2025,5,4,34,0.99,134
230,Manufacturing,2549,26.93,09-05-2025,5,3,21,1.00,36
231,Healthcare,4067,90.63,19-02-2025,1,1,999,0.99,115
232,Healthcare,3108,44.24,21-01-2025,4,2,115,1.00,144
233,Finance,4391,43.53,26-02-2025,1,1,999,1.00,108
234,Manufacturing,107,60.39,15-04-2025,5,3,25,1.00,60
235,Finance,3992,70.58,21-03-2025,2,2,53,0.09,85
236,Technology,3090,84.23,27-04-2025,3,3,6,1.00,48
237,Healthcare,565,29,11-04-2025,3,2,61,0.98,64
238,Retail,1236,33.92,25-04-2025,2,2,28,0.95,50
239,Manufacturing,828,85.71,09-01-2025,5,2,67,0.96,156
240,Finance,3300,45.9,19-05-2025,1,1,100,0.00,26
241,Finance,3295,7.4,11-04-2025,1,1,58,0.01,64
242,Retail,1026,25.96,07-06-2025,3,2,29,0.07,7
243,Finance,2672,22.28,15-05-2025,1,1,63,0.01,30
244,Manufacturing,1772,91.6,12-05-2025,2,1,999,0.99,33
245,Retail,2386,82.97,19-04-2025,5,3,18,1.00,56
246,Healthcare,71,23.98,25-04-2025,5,3,16,1.00,50
247,Retail,2837,53.64,24-05-2025,2,2,999,1.00,21
248,Technology,899,99.53,27-04-2025,4,3,38,0.98,48
249,Technology,1705,35.19,16-01-2025,5,3,126,1.00,149
250,Finance,3816,97.59,10-03-2025,2,2,999,0.99,96
251,Manufacturing,877,55.18,22-02-2025,5,3,58,1.00,112
252,Healthcare,1561,28.17,13-02-2025,5,3,57,1.00,121
253,Healthcare,4067,90.63,19-02-2025,4,3,33,1.00,115
254,Healthcare,2616,64.37,28-02-2025,2,2,118,0.98,106
255,Healthcare,309,16.51,25-03-2025,2,2,49,0.94,81
256,Healthcare,557,67.79,11-02-2025,1,1,999,1.00,123
257,Manufacturing,4381,62.95,23-03-2025,2,2,118,0.98,83
258,Finance,3519,28.73,19-01-2025,1,1,999,1.00,146
259,Technology,4167,97.32,24-05-2025,1,1,153,0.01,21
260,Manufacturing,3979,28.56,01-05-2025,3,2,126,1.00,44
261,Technology,551,30.75,29-01-2025,2,2,55,0.99,136
262,Healthcare,4839,35,05-03-2025,2,2,102,0.95,101
263,Manufacturing,177,47.55,30-03-2025,1,1,110,0.01,76
264,Manufacturing,948,92.54,30-03-2025,2,2,145,0.97,76
265,Finance,1735,91.39,16-01-2025,2,1,96,0.00,149
266,Finance,1238,49.64,14-05-2025,5,3,5,1.00,31
267,Retail,579,15.81,11-05-2025,4,3,72,1.00,34
268,Manufacturing,2549,26.93,27-05-2025,4,3,55,1.00,18
269,Retail,1009,54.93,05-01-2025,3,2,13,0.11,160
270,Manufacturing,3956,61.48,10-02-2025,3,3,112,1.00,124
271,Healthcare,3847,12.8,19-05-2025,1,1,133,0.01,26
272,Retail,4000,36.28,04-03-2025,4,2,39,0.11,102
273,Manufacturing,177,47.55,25-04-2025,4,3,98,1.00,50
274,Healthcare,3481,10.66,05-06-2025,3,2,12,0.96,9
275,Manufacturing,4611,40.03,04-06-2025,2,2,114,0.99,10
276,Technology,1465,69.07,26-02-2025,1,1,999,1.00,108
277,Healthcare,309,16.51,21-01-2025,2,1,999,0.99,144
278,Finance,3621,39.09,31-01-2025,1,1,105,0.00,134
279,Retail,1220,64.66,30-03-2025,4,3,84,1.00,76
280,Retail,4824,33.96,05-02-2025,1,1,999,0.99,129
281,Healthcare,2217,8.88,16-03-2025,2,1,27,0.02,90
282,Manufacturing,3889,62.64,13-02-2025,3,2,64,0.97,121
283,Healthcare,4329,96.66,06-03-2025,2,1,76,0.02,100
284,Healthcare,3914,43.34,21-05-2025,1,1,6,0.01,24
285,Finance,811,1.48,20-04-2025,4,2,999,1.00,55
286,Manufacturing,3979,28.56,03-03-2025,3,3,29,1.00,103
287,Retail,4896,95.33,02-01-2025,1,1,999,0.99,163
288,Healthcare,627,18.93,22-02-2025,3,3,75,1.00,112
289,Healthcare,1992,95.73,02-03-2025,1,1,148,0.00,104
290,Healthcare,2495,3.09,04-06-2025,2,2,82,0.98,10
291,Technology,686,53.66,18-04-2025,4,2,23,0.99,57
292,Manufacturing,2176,25.78,03-03-2025,4,3,30,1.00,103
293,Finance,3267,75.04,28-01-2025,2,2,156,0.98,137
294,Technology,899,99.53,05-06-2025,4,2,10,0.10,9
295,Finance,2906,62,30-03-2025,3,2,96,0.99,76
296,Retail,4392,95.42,05-04-2025,4,3,20,1.00,70
297,Manufacturing,2163,11.16,07-03-2025,3,2,53,0.97,99
298,Technology,686,53.66,17-02-2025,2,2,129,1.00,117
299,Retail,2086,65.38,05-03-2025,4,2,33,0.96,101
300,Healthcare,1498,90.7,23-05-2025,2,1,999,0.98,22
301,Finance,3470,34.31,03-03-2025,5,3,98,1.00,103
302,Technology,2232,52.35,07-06-2025,3,2,9,0.98,7
303,Finance,3295,7.4,17-02-2025,1,1,999,1.00,117
304,Technology,2290,77.14,24-01-2025,4,2,71,0.96,141
305,Finance,3940,77.6,04-03-2025,5,2,999,1.00,102
306,Manufacturing,1772,91.6,19-02-2025,3,3,148,1.00,115
307,Manufacturing,2176,25.78,15-03-2025,1,1,999,1.00,91
308,Technology,392,71.56,04-03-2025,3,3,105,1.00,102
309,Finance,3295,7.4,07-04-2025,3,2,58,0.97,68
310,Manufacturing,877,55.18,09-04-2025,5,3,28,1.00,66
311,Manufacturing,4080,63.76,17-05-2025,3,2,78,0.96,28
312,Finance,611,18.09,07-05-2025,5,4,75,1.00,38
313,Healthcare,3219,64.47,07-05-2025,4,2,13,0.97,38
314,Technology,2499,84.55,18-03-2025,1,1,999,1.00,88
315,Technology,1335,40.6,05-01-2025,4,2,8,0.96,160
316,Retail,2295,86.39,17-02-2025,1,1,77,0.00,117
317,Technology,1465,69.07,01-01-2025,5,4,16,1.00,164
318,Healthcare,4915,64.48,06-05-2025,1,1,999,1.00,39
319,Manufacturing,4611,40.03,21-05-2025,2,2,999,0.99,24
320,Finance,2786,25.91,06-04-2025,2,2,33,0.11,69
321,Finance,3267,75.04,19-05-2025,1,1,999,0.99,26
322,Healthcare,1498,90.7,18-01-2025,4,2,44,0.11,147
323,Retail,1351,23.89,25-05-2025,1,1,999,0.99,20
324,Manufacturing,3520,9.01,26-01-2025,3,3,108,1.00,139
325,Healthcare,3847,12.8,06-01-2025,3,3,7,0.99,159
326,Finance,710,86.16,27-03-2025,4,3,152,1.00,79
327,Manufacturing,2263,36.87,01-04-2025,1,1,54,0.00,74
328,Finance,2752,47.4,17-01-2025,5,3,64,1.00,148
329,Healthcare,3481,10.66,24-05-2025,1,1,155,0.00,21
330,Retail,3863,61.14,28-04-2025,1,1,999,0.99,47
331,Healthcare,1033,10.34,08-04-2025,2,2,88,0.98,67
332,Technology,3090,84.23,02-04-2025,4,3,56,1.00,73
333,Retail,2386,82.97,30-01-2025,1,1,999,1.00,135
334,Healthcare,3115,25.15,18-03-2025,1,1,127,0.00,88
335,Finance,2782,20.79,04-05-2025,5,3,106,1.00,41
336,Manufacturing,3179,48.67,25-05-2025,5,2,110,0.98,20
337,Technology,1193,37.3,17-05-2025,4,2,999,1.00,28
338,Technology,1821,93.52,31-05-2025,4,3,125,1.00,14
339,Finance,2782,20.79,12-01-2025,3,2,89,0.98,153
340,Healthcare,2538,28.48,07-06-2025,3,3,98,1.00,7
341,Retail,1187,16.93,02-01-2025,5,3,40,1.00,163
342,Retail,2295,86.39,14-01-2025,2,2,11,0.11,151
343,Manufacturing,2347,47.88,02-05-2025,5,3,31,1.00,43
344,Finance,1162,47.33,05-01-2025,5,3,36,1.00,160
345,Retail,2295,86.39,31-01-2025,3,3,12,1.00,134
346,Finance,3028,89.01,30-01-2025,4,2,19,0.98,135
347,Manufacturing,2263,36.87,19-04-2025,3,3,113,1.00,56
348,Retail,4824,33.96,10-02-2025,2,2,115,0.97,124
349,Retail,798,82.08,19-01-2025,1,1,6,0.00,146
350,Healthcare,3481,10.66,13-01-2025,5,3,94,1.00,152
351,Technology,551,30.75,06-03-2025,2,2,999,1.00,100
352,Healthcare,1498,90.7,03-06-2025,3,3,46,1.00,11
353,Manufacturing,828,85.71,14-04-2025,4,4,113,1.00,61
354,Finance,3992,70.58,18-03-2025,4,2,82,0.98,88
355,Manufacturing,1659,2.29,22-02-2025,3,2,29,0.97,112
356,Retail,2642,93.85,28-05-2025,5,3,154,1.00,17
357,Technology,772,25.34,07-03-2025,4,2,49,0.99,99
358,Technology,2302,27.61,16-05-2025,5,4,37,1.00,29
359,Manufacturing,2347,47.88,11-03-2025,2,2,34,0.96,95
360,Manufacturing,107,60.39,26-05-2025,2,2,71,0.94,19
361,Healthcare,165,39.99,16-02-2025,5,3,37,1.00,118
362,Manufacturing,3520,9.01,07-06-2025,1,1,51,0.00,7
363,Finance,1162,47.33,01-05-2025,5,3,28,1.00,44
364,Technology,3090,84.23,10-01-2025,2,2,98,0.09,155
365,Manufacturing,3413,37.03,16-02-2025,1,1,999,1.00,118
366,Technology,686,53.66,21-04-2025,1,1,60,0.00,54
367,Healthcare,557,67.79,20-02-2025,3,2,999,1.00,114
368,Healthcare,4938,74.96,12-03-2025,1,1,50,0.02,94
369,Finance,611,18.09,21-02-2025,3,2,101,0.96,113
370,Healthcare,4067,90.63,11-01-2025,1,1,117,0.02,154
371,Technology,289,16.84,09-04-2025,1,1,82,0.00,66
372,Healthcare,1498,90.7,22-04-2025,4,3,24,1.00,53
373,Retail,2086,65.38,21-04-2025,1,1,999,1.00,54
374,Retail,1187,16.93,10-02-2025,1,1,999,1.00,124
375,Healthcare,3219,64.47,22-04-2025,5,3,101,1.00,53
376,Manufacturing,2263,36.87,01-06-2025,3,3,80,0.99,13
377,Retail,2086,65.38,06-02-2025,5,4,63,1.00,128
378,Retail,1220,64.66,12-05-2025,3,3,91,1.00,33
379,Healthcare,3265,16.83,06-04-2025,1,1,90,0.00,69
380,Finance,4391,43.53,14-03-2025,4,3,149,1.00,92
381,Finance,2906,62,08-03-2025,2,2,46,0.12,98
382,Retail,3863,61.14,05-04-2025,1,1,999,1.00,70
383,Technology,1193,37.3,11-02-2025,2,1,30,0.02,123
384,Technology,1335,40.6,04-02-2025,1,1,44,0.00,130
385,Manufacturing,828,85.71,11-05-2025,3,2,26,0.94,34
386,Healthcare,2217,8.88,23-05-2025,5,4,15,1.00,22
387,Manufacturing,4275,34.74,26-04-2025,5,3,34,1.00,49
388,Finance,1189,9.56,08-04-2025,1,1,999,0.99,67
389,Healthcare,557,67.79,04-01-2025,5,4,17,1.00,161
390,Finance,1726,13.86,22-03-2025,4,3,6,1.00,84
391,Healthcare,668,35.03,21-02-2025,2,2,999,1.00,113
392,Healthcare,1353,2.05,28-01-2025,1,1,999,1.00,137
393,Finance,710,86.16,11-05-2025,4,4,63,1.00,34
394,Manufacturing,1772,91.6,07-01-2025,4,3,146,1.00,158
395,Healthcare,1561,28.17,27-03-2025,2,2,77,0.94,79
396,Finance,1247,12.7,02-02-2025,4,3,130,1.00,132
397,Retail,798,82.08,23-03-2025,4,3,90,1.00,83
398,Technology,4167,97.32,19-02-2025,5,3,44,1.00,115
399,Manufacturing,1659,2.29,08-02-2025,1,1,999,1.00,126
400,Retail,579,15.81,02-05-2025,2,2,11,0.12,43
401,Technology,2912,2.56,31-03-2025,1,1,999,1.00,75
402,Finance,2906,62,28-02-2025,2,2,31,0.92,106
403,Healthcare,1353,2.05,13-01-2025,4,2,79,0.98,152
404,Finance,3412,90.81,25-04-2025,5,3,18,1.00,50
405,Finance,611,18.09,05-02-2025,3,2,32,0.93,129
406,Retail,1060,79.77,04-04-2025,2,2,88,0.98,71
407,Manufacturing,828,85.71,16-02-2025,4,3,16,1.00,118
408,Manufacturing,3413,37.03,13-04-2025,2,1,999,0.99,62
409,Technology,4861,82.44,31-01-2025,5,2,73,0.16,134
410,Finance,1092,82.47,31-03-2025,2,2,16,0.09,75
411,Healthcare,3847,12.8,05-03-2025,1,1,999,0.99,101
412,Technology,1821,93.52,23-04-2025,3,2,15,0.95,52
413,Retail,3857,9.51,18-03-2025,3,3,7,0.99,88
414,Manufacturing,177,47.55,11-01-2025,2,2,114,0.98,154
415,Finance,1486,32.1,30-03-2025,3,3,6,1.00,76
416,Finance,1726,13.86,28-01-2025,3,3,114,1.00,137
417,Retail,2978,79.96,18-02-2025,5,4,89,1.00,116
418,Finance,2450,31.17,12-05-2025,5,3,33,0.99,33
419,Manufacturing,615,13.97,20-04-2025,1,1,47,0.01,55
420,Manufacturing,615,13.97,05-06-2025,4,3,157,1.00,9
